Data	Standard1-bit	Standard1.5-bit	Standard2-bit	Standard2.3-bit	Standard2.8-bit	Standard3-bit	Standard3.2-bit	Standard3.9-bit	Standard4-bit	Standard5-bit	SleekitLight1-bit	SleekitLight1.5-bit	SleekitLight2-bit	SleekitLight2.3-bit	SleekitLight2.8-bit	SleekitLight3-bit	SleekitLight3.2-bit	SleekitLight3.9-bit	SleekitLight4-bit	SleekitLight5-bit
bloom-560m/0.mlp.dense_4h_to_h	0.009261817671358585	0.0013228401076048613	0.0010199141688644886	0.0004936730256304145	0.0002863910049200058	0.0002414292102912441	0.00019392298418097198	8.710165275260806e-05	7.922988152131438e-05	2.6030313165392727e-05	0.003400946967303753	0.001160377636551857	0.000727715902030468	0.0004882888752035797	0.00028882623882964253	0.00023669777147006243	0.00019543840608093888	8.793709275778383e-05	7.975600601639599e-05	2.6264668122166768e-05
bloom-560m/0.mlp.dense_h_to_4h	0.05988338589668274	0.026443172246217728	0.015834152698516846	0.010770725086331367	0.0058814166113734245	0.004655183758586645	0.0038256454281508923	0.0016362511087208986	0.001468772767111659	0.0004474397865124047	0.050395578145980835	0.025179710239171982	0.015188891440629959	0.010509060695767403	0.00597067316994071	0.004813355393707752	0.003927007783204317	0.0016691007185727358	0.001500096172094345	0.0004522629315033555
bloom-560m/0.self_attention.dense	0.00542121846228838	0.0007043686928227544	0.000334533688146621	0.00018040460417978466	9.601048077456653e-05	7.613592606503516e-05	6.172935536596924e-05	2.5957611796911806e-05	2.3096010409062728e-05	6.840411515440792e-06	0.0010630057659000158	0.00039940630085766315	0.0002384660765528679	0.0001666898897383362	9.569557732902467e-05	7.661792187718675e-05	6.281441892497241e-05	2.6049610823974945e-05	2.353769014007412e-05	6.821561782999197e-06
bloom-560m/0.self_attention.query_key_value	0.08817244321107864	0.03873874619603157	0.022651707753539085	0.015165332704782486	0.008393780328333378	0.0066535621881484985	0.005420462694019079	0.0022753553930670023	0.0020377663895487785	0.0006280351080931723	0.07752843201160431	0.03517501428723335	0.021151697263121605	0.014575519599020481	0.008349749259650707	0.00670946529135108	0.0055277482606470585	0.0023608359042555094	0.00212312419898808	0.0006416646065190434
bloom-560m/1.mlp.dense_4h_to_h	0.004069960210472345	0.001564301666803658	0.0009493031539022923	0.000654140836559236	0.0003909168881364167	0.0003095403080806136	0.0002684522478375584	0.00011827325215563178	0.00010718793055275455	3.7594705645460635e-05	0.0031338268890976906	0.0014496762305498123	0.0009086235659196973	0.0006355528021231294	0.00037760072154924273	0.0003076912253163755	0.0002565791073720902	0.00011742903006961569	0.00010630639735609293	3.5931308957515284e-05
bloom-560m/1.mlp.dense_h_to_4h	0.08524500578641891	0.035570546984672546	0.02090967819094658	0.014088190160691738	0.007846987806260586	0.0062511274591088295	0.00511254882439971	0.0021376898512244225	0.001916973851621151	0.000575055368244648	0.07211706042289734	0.03408190980553627	0.020368454977869987	0.01402980275452137	0.00790250115096569	0.0062885582447052	0.005161667242646217	0.002165545243769884	0.0019411983666941524	0.000578781240619719
bloom-560m/1.self_attention.dense	0.0016475010197609663	0.0004379520541988313	0.0002509109617676586	0.000163213349878788	9.142833005171269e-05	7.362061296589673e-05	6.00967941863928e-05	2.598516584839672e-05	2.3345404770225286e-05	7.306854513444705e-06	0.0009571915725246072	0.000382562808226794	0.0002346665714867413	0.00015801741392351687	9.139261237578467e-05	7.299719436559826e-05	6.048444629414007e-05	2.6226007321383804e-05	2.334019518457353e-05	7.196840215328848e-06
bloom-560m/1.self_attention.query_key_value	0.1111893281340599	0.048893243074417114	0.02875288389623165	0.0193107258528471	0.010777133516967297	0.008571851067245007	0.007016701623797417	0.0029675811529159546	0.0026659052819013596	0.0008151339716278017	0.10331020504236221	0.04643498733639717	0.02779596485197544	0.019014135003089905	0.010773096233606339	0.008637531660497189	0.00709580397233367	0.003014772431924939	0.002704120008274913	0.0008171278168447316
bloom-560m/10.mlp.dense_4h_to_h	0.006181653589010239	0.002861152635887265	0.002088653389364481	0.0013044994557276368	0.0007849872345104814	0.0008115313830785453	0.0005409468431025743	0.00025712576461955905	0.00031301932176575065	0.00012215653259772807	0.005408627446740866	0.0027767042629420757	0.0018658486660569906	0.0012945043854415417	0.0007833351846784353	0.0007008323445916176	0.0005386905977502465	0.00026094721397385	0.00027636729646474123	9.673055319581181e-05
bloom-560m/10.mlp.dense_h_to_4h	0.103194460272789	0.04613880813121796	0.02856285497546196	0.01879129558801651	0.010633600875735283	0.008707288652658463	0.007023818790912628	0.002941037993878126	0.002651407616212964	0.0007892095018178225	0.09425505995750427	0.04411211609840393	0.026607804000377655	0.01827765628695488	0.010421316139400005	0.008355004712939262	0.006862450856715441	0.0029138955287635326	0.002613964956253767	0.0007812277181074023
