Data	Standard	Correction	Scaling	SleekitLight	SleekitHeavy
bloom-560m/0.mlp.dense_4h_to_h	0.0013228401076048613	0.0012624718947336078	0.001279566204175353	0.001160377636551857	0.001098287757486105
bloom-560m/0.mlp.dense_h_to_4h	0.026443172246217728	0.02469799667596817	0.02770187333226204	0.025179710239171982	0.020964551717042923
bloom-560m/0.self_attention.dense	0.0007043686928227544	0.0004441837081685662	0.00044820699258707464	0.00039940630085766315	0.0003581929486244917
bloom-560m/0.self_attention.query_key_value	0.03873874619603157	0.03703165426850319	0.03742425516247749	0.03517501428723335	0.03074086457490921
bloom-560m/1.mlp.dense_4h_to_h	0.001564301666803658	0.001539201708510518	0.0015602130442857742	0.0014496762305498123	0.0013912844005972147
bloom-560m/1.mlp.dense_h_to_4h	0.035570546984672546	0.033658467233181	0.036520663648843765	0.03408190980553627	0.028552614152431488
bloom-560m/1.self_attention.dense	0.0004379520541988313	0.00040248045115731657	0.00044764502672478557	0.000382562808226794	0.0003519600140862167
bloom-560m/1.self_attention.query_key_value	0.048893243074417114	0.04782484471797943	0.04755186662077904	0.04643498733639717	0.03936081379652023
bloom-560m/10.mlp.dense_4h_to_h	0.002861152635887265	0.002810956444591284	0.0028634080663323402	0.0027767042629420757	0.002619593869894743
bloom-560m/10.mlp.dense_h_to_4h	0.04613880813121796	0.04372769966721535	0.047330889850854874	0.04411211609840393	0.03731158748269081
bloom-560m/10.self_attention.dense	0.0015063260216265917	0.0014974195510149002	0.0015307341236621141	0.0014581757131963968	0.0013174500782042742
bloom-560m/10.self_attention.query_key_value	1.0850833654403687	0.37248119711875916	0.23221902549266815	0.20374946296215057	0.15567614138126373
bloom-560m/11.mlp.dense_4h_to_h	0.003023501019924879	0.0029795141890645027	0.003029903396964073	0.0029133325442671776	0.0027425033040344715
bloom-560m/11.mlp.dense_h_to_4h	0.04803954064846039	0.045414093881845474	0.04910963028669357	0.0454561784863472	0.038760896772146225
bloom-560m/11.self_attention.dense	0.001453052507713437	0.0014387333067134023	0.0014814032474532723	0.0014344466617330909	0.001304427976720035
