Data	Standard	Correction	Scaling	SleekitLight	SleekitHeavy
bloom-560m/0.mlp.dense_4h_to_h	0.009261817671358585	0.0045657032169401646	0.007406672928482294	0.003400946967303753	0.0024579232558608055
bloom-560m/0.mlp.dense_h_to_4h	0.05988338589668274	0.05176138877868652	0.058643292635679245	0.050395578145980835	0.042099788784980774
bloom-560m/0.self_attention.dense	0.00542121846228838	0.0016136437188833952	0.001209806650876999	0.0010630057659000158	0.0007837587036192417
bloom-560m/0.self_attention.query_key_value	0.08817244321107864	0.0826367661356926	0.08442578464746475	0.07752843201160431	0.062196776270866394
bloom-560m/1.mlp.dense_4h_to_h	0.004069960210472345	0.0034952897112816572	0.003669610247015953	0.0031338268890976906	0.0028371461667120457
bloom-560m/1.mlp.dense_h_to_4h	0.08524500578641891	0.07284083217382431	0.08353161811828613	0.07211706042289734	0.0581345371901989
bloom-560m/1.self_attention.dense	0.0016475010197609663	0.001003403216600418	0.0011967630125582218	0.0009571915725246072	0.0007608418818563223
bloom-560m/1.self_attention.query_key_value	0.1111893281340599	0.10641787201166153	0.10866516083478928	0.10331020504236221	0.08070292323827744
bloom-560m/10.mlp.dense_4h_to_h	0.006181653589010239	0.005880821030586958	0.005732682533562183	0.005408627446740866	0.005051196552813053
bloom-560m/10.mlp.dense_h_to_4h	0.103194460272789	0.09391868114471436	0.10350434482097626	0.09425505995750427	0.07597154378890991
bloom-560m/10.self_attention.dense	0.0030725111719220877	0.003042008262127638	0.0031210053712129593	0.002965538762509823	0.002626134315505624
bloom-560m/10.self_attention.query_key_value	2.4113929271698	0.7017410397529602	0.7092733979225159	0.48857975006103516	0.34712865948677063
bloom-560m/11.mlp.dense_4h_to_h	0.006179746240377426	0.00593368336558342	0.005948357284069061	0.0056236376985907555	0.005212743766605854
bloom-560m/11.mlp.dense_h_to_4h	0.10633356124162674	0.09735322743654251	0.10686210542917252	0.09733597189188004	0.07924345135688782
bloom-560m/11.self_attention.dense	0.0029183460865169764	0.002851128578186035	0.0029733236879110336	0.0028479434549808502	0.002527389908209443
bloom-560m/11.self_attention.query_key_value	0.6787301898002625	0.501194417476654	0.3790598213672638	0.3541966676712036	0.25099053978919983
bloom-560m/12.mlp.dense_4h_to_h	0.0069244252517819405	0.0067287469282746315	0.006933131255209446	0.00653159711509943	0.006055832840502262
bloom-560m/12.mlp.dense_h_to_4h	0.1312580406665802	0.12149976193904877	0.13290521502494812	0.1216922476887703	0.1002502590417862
bloom-560m/12.self_attention.dense	0.0029017727356404066	0.0028723636642098427	0.0029256464913487434	0.002822350710630417	0.002516184700652957
bloom-560m/12.self_attention.query_key_value	0.9373602271080017	0.5782198309898376	0.5240728259086609	0.43922528624534607	0.3107406198978424
bloom-560m/13.mlp.dense_4h_to_h	0.0067512271925807	0.0065865423530340195	0.006752984598278999	0.006408052518963814	0.005962220020592213
bloom-560m/13.mlp.dense_h_to_4h	0.13642580807209015	0.12621308863162994	0.13755327463150024	0.12615835666656494	0.10540851950645447
bloom-560m/13.self_attention.dense	0.002959238365292549	0.0029303536284714937	0.002966097556054592	0.0028585828840732574	0.0025552231818437576
bloom-560m/13.self_attention.query_key_value	0.6084157824516296	0.5070511698722839	0.44524505734443665	0.4195385277271271	0.28811463713645935
bloom-560m/14.mlp.dense_4h_to_h	0.007079045753926039	0.006873336620628834	0.0070700878277421	0.006687581539154053	0.006231339648365974
bloom-560m/14.mlp.dense_h_to_4h	0.13610762357711792	0.12678436934947968	0.1373949497938156	0.1267513632774353	0.10648661851882935
