Data	Standard	Correction	Scaling	ScalingBiasOrder	ScalingOrder	ScalingBias		ScalingBiasOrderLS100		ScalingBiasOrderLS100
bloom-560m/0.mlp.dense_4h_to_h	0.00033753609750419855	0.00032766186632215977	0.00030246388632804155	0.0002888932649511844	0.00029286392964422703	0.00029675080440938473		0.00024194794241338968		0.00024194794241338968
bloom-560m/0.mlp.dense_h_to_4h	0.0046584466472268105	0.004933136980980635	0.005097358487546444	0.004851667210459709	0.004909123294055462	0.004863445647060871		0.004388212691992521		0.004388212691992521
bloom-560m/0.self_attention.dense	7.602342520840466e-05	7.413160346914083e-05	8.315739978570491e-05	7.574606570415199e-05	7.669208571314812e-05	7.603994163218886e-05		7.391712279058993e-05		7.391712279058993e-05
bloom-560m/0.self_attention.query_key_value	0.008079036138951778	0.007775870617479086	0.007786898408085108	0.0074878777377307415	0.007501279469579458	0.007560830097645521		0.006233843509107828		0.006233843509107828
bloom-560m/1.mlp.dense_4h_to_h	0.0003362587303854525	0.0003312758053652942	0.00033333624014630914	0.0003175531164743006	0.0003189269336871803	0.000329443602822721		0.0002948230248875916		0.0002948230248875916
bloom-560m/1.mlp.dense_h_to_4h	0.006253763101994991	0.006388185545802116	0.0065339854918420315	0.006344973109662533	0.006363013293594122	0.006361731793731451		0.005655096843838692		0.005655096843838692
bloom-560m/1.self_attention.dense	7.353330875048414e-05	7.1899572503753e-05	8.155099203577265e-05	7.244032167363912e-05	7.358158472925425e-05	7.304648170247674e-05		7.053767330944538e-05		7.053767330944538e-05
bloom-560m/1.self_attention.query_key_value	0.008596033789217472	0.008626221679151058	0.008842279203236103	0.008697476238012314	0.008671854622662067	0.008766339160501957		0.007738910615444183		0.007738910615444183
bloom-560m/10.mlp.dense_4h_to_h	0.0008400464430451393	0.0008237756555899978	0.0007418019813485444	0.0007159940432757139	0.0007178123341873288	0.0007384701166301966		0.0006704711704514921		0.0006704711704514921
bloom-560m/10.mlp.dense_h_to_4h	0.009287068620324135	0.008806264027953148	0.009046853519976139	0.008532850071787834	0.008748965337872505	0.008545801043510437		0.0075749922543764114		0.0075749922543764114
bloom-560m/10.self_attention.dense	0.00030628664535470307	0.0003049876249860972	0.0003061087045352906	0.00029456167249009013	0.00029527058359235525	0.000302827829727903		0.000274396181339398		0.000274396181339398
bloom-560m/10.self_attention.query_key_value	0.22375915944576263	0.1864018589258194	0.04044255241751671	0.038363177329301834	0.03830787166953087	0.03851252421736717		0.03487039729952812		0.03487039729952812
bloom-560m/11.mlp.dense_4h_to_h	0.000716335722245276	0.0007064682431519032	0.0007036610622890294	0.0006672177696600556	0.0006675540935248137	0.0006963405758142471		0.0006253084866330028		0.0006253084866330028
bloom-560m/11.mlp.dense_h_to_4h	0.009948000311851501	0.009531369432806969	0.009448226541280746	0.008881081826984882	0.00908585824072361	0.008944610133767128		0.007902104407548904		0.007902104407548904
bloom-560m/11.self_attention.dense	0.0002999918069690466	0.00029768369859084487	0.0003046145720873028	0.0002957230026368052	0.0002975278184749186	0.0002987403713632375		0.0002761120267678052		0.0002761120267678052
bloom-560m/11.self_attention.query_key_value	0.1417684555053711	0.13592328131198883	0.02755223959684372	0.026966778561472893	0.02637363038957119	0.02702505886554718		0.02412942610681057		0.02412942610681057
bloom-560m/12.mlp.dense_4h_to_h	0.0007831105613149703	0.0007773173274472356	0.0007869744440540671	0.0007488315459340811	0.0007494970923289657	0.0007797377184033394		0.0007162499241530895		0.0007162499241530895
bloom-560m/12.mlp.dense_h_to_4h	0.011910505592823029	0.01180664636194706	0.01173194870352745	0.011290453374385834	0.011324074119329453	0.011385682970285416		0.010064003057777882		0.010064003057777882
bloom-560m/12.self_attention.dense	0.00029578531393781304	0.0002940952545031905	0.0002944206353276968	0.00028868013760074973	0.0002897760132327676	0.00029208112391643226		0.0002697568270377815		0.0002697568270377815
bloom-560m/12.self_attention.query_key_value	0.1709994524717331	0.16342516243457794	0.036186203360557556	0.034911368042230606	0.03445390611886978	0.03483609855175018		0.03169439733028412		0.03169439733028412
bloom-560m/13.mlp.dense_4h_to_h	0.000754855340346694	0.000747901969589293	0.000757814384996891	0.0007174174534156919	0.0007183216512203217	0.0007479256018996239		0.0006866771727800369		0.0006866771727800369
bloom-560m/13.mlp.dense_h_to_4h	0.011868235655128956	0.011673364788293839	0.011982377618551254	0.011582952924072742	0.01165623590350151	0.01163981482386589		0.010348102077841759		0.010348102077841759
bloom-560m/13.self_attention.dense	0.00031679036328569055	0.0003155194572173059	0.00031811773078516126	0.0003114009159617126	0.00031283136922866106	0.0003153066791128367		0.00029145448934286833		0.00029145448934286833
bloom-560m/13.self_attention.query_key_value	0.1486041396856308	0.1527242511510849	0.03662485256791115	0.03523530066013336	0.03463297709822655	0.03629828616976738		0.0318153090775013		0.0318153090775013
bloom-560m/14.mlp.dense_4h_to_h	0.0007922322256490588	0.000785469776019454	0.0007927630213089287	0.0007533050375059247	0.0007539291982538998	0.0007858070312067866		0.0007226032321341336		0.0007226032321341336
bloom-560m/14.mlp.dense_h_to_4h	0.011591969057917595	0.011687450110912323	0.011899557895958424	0.011680545285344124	0.011578962206840515	0.011714775115251541		0.010440644808113575		0.010440644808113575
bloom-560m/14.self_attention.dense	0.0002541043213568628	0.0002530659839976579	0.00025212831678800285	0.00025041861226782203	0.0002510672202333808	0.00025061616906896234		0.00023150083143264055		0.00023150083143264055
bloom-560m/14.self_attention.query_key_value	0.14905549585819244	0.15212945640087128	0.03903796896338463	0.037397515028715134	0.03655223175883293	0.03929106518626213		0.033984433859586716		0.033984433859586716
bloom-560m/15.mlp.dense_4h_to_h	0.0008475704817101359	0.0008425888372585177	0.0008507914608344436	0.0008167072664946318	0.0008169589564204216	0.0008445294224657118		0.0007852392736822367		0.0007852392736822367
bloom-560m/15.mlp.dense_h_to_4h	0.011904148384928703	0.011967368423938751	0.012221505865454674	0.011975644156336784	0.011897842399775982	0.01200893335044384		0.010727930814027786		0.010727930814027786
bloom-560m/15.self_attention.dense	0.0002810436417348683	0.0002788964775390923	0.0002794842002913356	0.0002702564524952322	0.0002713159774430096	0.000273371406365186		0.00025262305280193686		0.00025262305280193686
bloom-560m/15.self_attention.query_key_value	0.12312465906143188	0.13556309044361115	0.03736930713057518	0.03620493784546852	0.03533590957522392	0.037004027515649796		0.032682761549949646		0.032682761549949646
bloom-560m/16.mlp.dense_4h_to_h	0.0009455457329750061	0.0009409453487023711	0.0009523401386104524	0.0009091626852750778	0.0009103409247472882	0.0009408365003764629		0.0008750830311328173		0.0008750830311328173
bloom-560m/16.mlp.dense_h_to_4h	0.012347784824669361	0.012429498136043549	0.01233639195561409	0.012103169225156307	0.01200132817029953	0.012177818454802036		0.010849697515368462		0.010849697515368462
bloom-560m/16.self_attention.dense	0.00029196625109761953	0.0002903981367126107	0.0002918344980571419	0.00028392771491780877	0.00028563226805999875	0.0002871006727218628		0.0002636350109241903		0.0002636350109241903
bloom-560m/16.self_attention.query_key_value	0.15164731442928314	0.1586056500673294	0.039613887667655945	0.03830708935856819	0.03741311654448509	0.039629366248846054		0.03465167060494423		0.03465167060494423
bloom-560m/17.mlp.dense_4h_to_h	0.0011274993885308504	0.0011203775648027658	0.0011227047070860863	0.0010692521464079618	0.0010691296774894	0.0011161882430315018		0.00103307468816638		0.00103307468816638
bloom-560m/17.mlp.dense_h_to_4h	0.011779027990996838	0.012153008952736855	0.012256407178938389	0.012111688032746315	0.011858111247420311	0.012156696058809757		0.010847978293895721		0.010847978293895721
bloom-560m/17.self_attention.dense	0.0002944680745713413	0.00029285153141245246	0.0002985202590934932	0.0002866291324608028	0.00028804937028326094	0.00029036137857474387		0.00026739254826679826		0.00026739254826679826
bloom-560m/17.self_attention.query_key_value	0.09334415942430496	0.11236604303121567	0.03148682042956352	0.031136224046349525	0.030133241787552834	0.031917378306388855		0.02800052799284458		0.02800052799284458
bloom-560m/18.mlp.dense_4h_to_h	0.0013499818742275238	0.001343828160315752	0.0013510342687368393	0.0012876642867922783	0.0012887644115835428	0.0013424742501229048		0.0012466557091102004		0.0012466557091102004
bloom-560m/18.mlp.dense_h_to_4h	0.012286820448935032	0.012824686244130135	0.012698614969849586	0.012704489752650261	0.012281778268516064	0.012770388275384903		0.01135205291211605		0.01135205291211605
bloom-560m/18.self_attention.dense	0.000402395729906857	0.000397710595279932	0.0004146226856391877	0.00039821010432206094	0.00040300318505614996	0.00039998034480959177		0.0003702706890180707		0.0003702706890180707
bloom-560m/18.self_attention.query_key_value	0.11708507686853409	0.11194498091936111	0.03153645619750023	0.03133668377995491	0.03047451376914978	0.031418923288583755		0.02820027433335781		0.02820027433335781
bloom-560m/19.mlp.dense_4h_to_h	0.0016435128636658192	0.0016383430920541286	0.0016675591468811035	0.0015821217093616724	0.001583864213898778	0.0016397436847910285		0.0015356169315055013		0.0015356169315055013
bloom-560m/19.mlp.dense_h_to_4h	0.012721940875053406	0.013239219784736633	0.013235203921794891	0.013210148550570011	0.012793991714715958	0.013226570561528206		0.011834919452667236		0.011834919452667236
