Data	Scaling	GPTQ	GPTQ+BiasCorrection	GPTQWithBiasCorrection
bloom-560m/0.mlp.dense_4h_to_h	mse	0.002252540085464716	0.0020051072351634502	0.0019631427712738514
bloom-560m/0.mlp.dense_h_to_4h	mse	0.026584554463624954	0.02554069086909294	0.026303697377443314
bloom-560m/0.self_attention.dense	mse	0.0008345135720446706	0.0005020326934754848	0.0004474748275242746
bloom-560m/0.self_attention.query_key_value	mse	0.04525868967175484	0.0420776791870594	0.04303993657231331
bloom-560m/1.mlp.dense_4h_to_h	mse	0.0019181864336133003	0.0018648668192327023	0.0018297513015568256
bloom-560m/1.mlp.dense_h_to_4h	mse	0.035703033208847046	0.03528882563114166	0.035292379558086395
bloom-560m/1.self_attention.dense	mse	0.00046084373025223613	0.0004277851840015501	0.0004072361916769296
bloom-560m/1.self_attention.query_key_value	mse	0.049308668822050095	0.048638563603162766	0.048753052949905396
bloom-560m/10.mlp.dense_4h_to_h	mse	0.003120714332908392	0.0030717949848622084	0.0030352743342518806
bloom-560m/10.mlp.dense_h_to_4h	mse	0.050397951155900955	0.04960748553276062	0.047047052532434464
bloom-560m/10.self_attention.dense	mse	0.0015068164793774486	0.001503607491031289	0.0014987819595262408
bloom-560m/10.self_attention.query_key_value	mse	1.141178011894226	0.5193024277687073	0.44564852118492126
bloom-560m/11.mlp.dense_4h_to_h	mse	0.0032199255656450987	0.0031889749225229025	0.003156652208417654
bloom-560m/11.mlp.dense_h_to_4h	mse	0.05118802934885025	0.05023018270730972	0.048558201640844345
bloom-560m/11.self_attention.dense	mse	0.001456213416531682	0.0014513758942484856	0.0014412899035960436
bloom-560m/11.self_attention.query_key_value	mse	0.3919227123260498	0.3260754644870758	0.32379093766212463
bloom-560m/12.mlp.dense_4h_to_h	mse	0.0035617826506495476	0.0035430723801255226	0.003505248110741377
bloom-560m/12.mlp.dense_h_to_4h	mse	0.06210048869252205	0.06161964684724808	0.062204279005527496
bloom-560m/12.self_attention.dense	mse	0.0014514339854940772	0.0014488286105915904	0.001442563720047474
bloom-560m/12.self_attention.query_key_value	mse	0.517007052898407	0.4011429250240326	0.37795448303222656
bloom-560m/13.mlp.dense_4h_to_h	mse	0.003492620773613453	0.0034794937819242477	0.0034421817399561405
bloom-560m/13.mlp.dense_h_to_4h	mse	0.06523271650075912	0.06447859108448029	0.06401436030864716
bloom-560m/13.self_attention.dense	mse	0.0015145441284403205	0.0015109707601368427	0.0015096986899152398
bloom-560m/13.self_attention.query_key_value	mse	0.37332049012184143	0.34312257170677185	0.3431808054447174
bloom-560m/14.mlp.dense_4h_to_h	mse	0.003661439521238208	0.0036457020323723555	0.003613526001572609
bloom-560m/14.mlp.dense_h_to_4h	mse	0.06372831761837006	0.06335288286209106	0.0634009838104248
bloom-560m/14.self_attention.dense	mse	0.0012745687272399664	0.0012709107249975204	0.0012652190634980798
bloom-560m/14.self_attention.query_key_value	mse	0.3567500412464142	0.32776939868927	0.3301185667514801
bloom-560m/15.mlp.dense_4h_to_h	mse	0.003893798217177391	0.003879596944898367	0.0038540903478860855
bloom-560m/15.mlp.dense_h_to_4h	mse	0.06514853239059448	0.06470578908920288	0.06460550427436829
bloom-560m/15.self_attention.dense	mse	0.0013229760807007551	0.0013169212033972144	0.001312030479311943
bloom-560m/15.self_attention.query_key_value	mse	0.32864436507225037	0.30457422137260437	0.3139162063598633
bloom-560m/16.mlp.dense_4h_to_h	mse	0.004355005919933319	0.004340441897511482	0.004317350685596466
bloom-560m/16.mlp.dense_h_to_4h	mse	0.06529466062784195	0.06496407091617584	0.06603650748729706
bloom-560m/16.self_attention.dense	mse	0.001424324931576848	0.0014199881115928292	0.0014131402131170034
bloom-560m/16.self_attention.query_key_value	mse	0.3609616756439209	0.3428470194339752	0.3474479615688324
bloom-560m/17.mlp.dense_4h_to_h	mse	0.005052253138273954	0.00503329373896122	0.005008729174733162
bloom-560m/17.mlp.dense_h_to_4h	mse	0.06446685642004013	0.06411905586719513	0.06546148657798767
bloom-560m/17.self_attention.dense	mse	0.0014673672849312425	0.0014357106992974877	0.0014253014232963324
bloom-560m/17.self_attention.query_key_value	mse	0.26836907863616943	0.2545015513896942	0.2674603760242462
bloom-560m/18.mlp.dense_4h_to_h	mse	0.005934313405305147	0.005914566107094288	0.00588823389261961
bloom-560m/18.mlp.dense_h_to_4h	mse	0.06690701842308044	0.06647911667823792	0.06863868236541748
bloom-560m/18.self_attention.dense	mse	0.0018895440734922886	0.001877620117738843	0.0018599753966555
bloom-560m/18.self_attention.query_key_value	mse	0.4556170403957367	0.33190420269966125	0.29918789863586426
bloom-560m/19.mlp.dense_4h_to_h	mse	0.0071199513040483	0.007079064846038818	0.007052978500723839
bloom-560m/19.mlp.dense_h_to_4h	mse	0.06945952773094177	0.06893075257539749	0.07036004215478897
bloom-560m/19.self_attention.dense	mse	0.002388509688898921	0.0023843604139983654	0.0023605236783623695
bloom-560m/19.self_attention.query_key_value	mse	0.39015090465545654	0.34376129508018494	0.3485264480113983
bloom-560m/2.mlp.dense_4h_to_h	mse	0.0024097743444144726	0.002399318851530552	0.0023723477497696877
bloom-560m/2.mlp.dense_h_to_4h	mse	0.05602940917015076	0.054937802255153656	0.05520208925008774
bloom-560m/2.self_attention.dense	mse	0.00042878472595475614	0.0004197831149213016	0.00041177470120601356
bloom-560m/2.self_attention.query_key_value	mse	0.0574084110558033	0.05713621899485588	0.0571158230304718
bloom-560m/20.mlp.dense_4h_to_h	mse	0.011309713125228882	0.010383960790932178	0.01026154775172472
bloom-560m/20.mlp.dense_h_to_4h	mse	0.07257312536239624	0.07110953330993652	0.07337753474712372
bloom-560m/20.self_attention.dense	mse	0.004520255606621504	0.004434861242771149	0.004324364475905895
bloom-560m/20.self_attention.query_key_value	mse	0.4527597725391388	0.3921654522418976	0.39668557047843933
bloom-560m/21.mlp.dense_4h_to_h	mse	0.02890406921505928	0.02174447476863861	0.020498495548963547
bloom-560m/21.mlp.dense_h_to_4h	mse	0.07799925655126572	0.07415543496608734	0.07391588389873505
bloom-560m/21.self_attention.dense	mse	0.017177103087306023	0.01193135604262352	0.010499348863959312
bloom-560m/21.self_attention.query_key_value	mse	0.5303887724876404	0.40838977694511414	0.4185941219329834
bloom-560m/22.mlp.dense_4h_to_h	mse	0.022670429199934006	0.022043410688638687	0.021627334877848625
