Data	Scaling	GPTQ	GPTQ+BiasCorrection	GPTQWithBiasCorrection
bloom-560m/0.mlp.dense_4h_to_h	mse	0.00033753609750419855	0.00033559981966391206	0.00032766186632215977
bloom-560m/0.mlp.dense_h_to_4h	mse	0.0046584466472268105	0.004650149494409561	0.004933136980980635
bloom-560m/0.self_attention.dense	mse	7.602342520840466e-05	7.58903261157684e-05	7.413160346914083e-05
bloom-560m/0.self_attention.query_key_value	mse	0.008079036138951778	0.007778880652040243	0.007775870617479086
bloom-560m/1.mlp.dense_4h_to_h	mse	0.0003362587303854525	0.0003344175056554377	0.0003312758053652942
bloom-560m/1.mlp.dense_h_to_4h	mse	0.006253763101994991	0.006242153234779835	0.006388185545802116
bloom-560m/1.self_attention.dense	mse	7.353330875048414e-05	7.348389772232622e-05	7.1899572503753e-05
bloom-560m/1.self_attention.query_key_value	mse	0.008596033789217472	0.008577847853302956	0.008626221679151058
bloom-560m/10.mlp.dense_4h_to_h	mse	0.0008400464430451393	0.0008352795848622918	0.0008237756555899978
bloom-560m/10.mlp.dense_h_to_4h	mse	0.009287068620324135	0.009225739166140556	0.008806264027953148
bloom-560m/10.self_attention.dense	mse	0.00030628664535470307	0.0003060069866478443	0.0003049876249860972
bloom-560m/10.self_attention.query_key_value	mse	0.22375915944576263	0.18759210407733917	0.1864018589258194
bloom-560m/11.mlp.dense_4h_to_h	mse	0.000716335722245276	0.0007146698771975935	0.0007064682431519032
bloom-560m/11.mlp.dense_h_to_4h	mse	0.009948000311851501	0.009839367121458054	0.009531369432806969
bloom-560m/11.self_attention.dense	mse	0.0002999918069690466	0.0002996428811457008	0.00029768369859084487
bloom-560m/11.self_attention.query_key_value	mse	0.1417684555053711	0.13077156245708466	0.13592328131198883
bloom-560m/12.mlp.dense_4h_to_h	mse	0.0007831105613149703	0.000782752176746726	0.0007773173274472356
bloom-560m/12.mlp.dense_h_to_4h	mse	0.011910505592823029	0.011865798383951187	0.01180664636194706
bloom-560m/12.self_attention.dense	mse	0.00029578531393781304	0.0002955230884253979	0.0002940952545031905
bloom-560m/12.self_attention.query_key_value	mse	0.1709994524717331	0.16549977660179138	0.16342516243457794
bloom-560m/13.mlp.dense_4h_to_h	mse	0.000754855340346694	0.0007545432890765369	0.000747901969589293
bloom-560m/13.mlp.dense_h_to_4h	mse	0.011868235655128956	0.011842601001262665	0.011673364788293839
bloom-560m/13.self_attention.dense	mse	0.00031679036328569055	0.0003164774680044502	0.0003155194572173059
bloom-560m/13.self_attention.query_key_value	mse	0.1486041396856308	0.14620046317577362	0.1527242511510849
bloom-560m/14.mlp.dense_4h_to_h	mse	0.0007922322256490588	0.0007916270405985415	0.000785469776019454
bloom-560m/14.mlp.dense_h_to_4h	mse	0.011591969057917595	0.011576126329600811	0.011687450110912323
bloom-560m/14.self_attention.dense	mse	0.0002541043213568628	0.00025384631589986384	0.0002530659839976579
bloom-560m/14.self_attention.query_key_value	mse	0.14905549585819244	0.14368011057376862	0.15212945640087128
bloom-560m/15.mlp.dense_4h_to_h	mse	0.0008475704817101359	0.0008471650071442127	0.0008425888372585177
bloom-560m/15.mlp.dense_h_to_4h	mse	0.011904148384928703	0.011885729618370533	0.011967368423938751
bloom-560m/15.self_attention.dense	mse	0.0002810436417348683	0.00027996322023682296	0.0002788964775390923
bloom-560m/15.self_attention.query_key_value	mse	0.12312465906143188	0.12149251252412796	0.13556309044361115
