Data	Scaling	Damp0.001	Damp0.003	Damp0.01	Damp0.03	Damp0.1	Damp0.3	Damp1.0
bloom-560m/0.mlp.dense_4h_to_h	mse	0.001827991334721446	0.0015415060333907604	0.001322817406617105	0.0012595870066434145	0.0013609114103019238	0.001588236540555954	0.0019419807940721512
bloom-560m/0.mlp.dense_h_to_4h	mse	0.026564976200461388	0.026530694216489792	0.026443246752023697	0.026325464248657227	0.02629486843943596	0.02676386572420597	0.0286310613155365
bloom-560m/0.self_attention.dense	mse	0.0007996409549377859	0.0007942887023091316	0.0007043684599921107	0.00060396792832762	0.0005546692409552634	0.000559345877263695	0.0006447011255659163
bloom-560m/0.self_attention.query_key_value	mse	0.043100785464048386	0.04095587506890297	0.03873870149254799	0.03705201670527458	0.03607810661196709	0.036328013986349106	0.03852115571498871
bloom-560m/1.mlp.dense_4h_to_h	mse	0.001772570889443159	0.0016664010472595692	0.0015643060905858874	0.0015404504956677556	0.0016248547472059727	0.0018074674298986793	0.002104352694004774
bloom-560m/1.mlp.dense_h_to_4h	mse	0.03569403290748596	0.03565556928515434	0.0355706587433815	0.03550348058342934	0.03552281856536865	0.036315105855464935	0.03923885524272919
bloom-560m/1.self_attention.dense	mse	0.0004582489200402051	0.000450921303126961	0.00043795217061415315	0.0004276229301467538	0.0004335982957854867	0.00047162227565422654	0.0005623083561658859
bloom-560m/1.self_attention.query_key_value	mse	0.049294572323560715	0.04918095842003822	0.048893243074417114	0.04853961989283562	0.04827016592025757	0.04906495288014412	0.05276072025299072
bloom-560m/10.mlp.dense_4h_to_h	mse	0.002895897254347801	0.0028557968325912952	0.0028612336609512568	0.0029149469919502735	0.002994157373905182	0.0030776853673160076	0.0033566721249371767
bloom-560m/10.mlp.dense_h_to_4h	mse	0.047712549567222595	0.04663738235831261	0.04613880813121796	0.045855410397052765	0.04604973644018173	0.04748165234923363	0.05208628997206688
bloom-560m/10.self_attention.dense	mse	0.0015062559396028519	0.0015056561678647995	0.0015063120517879725	0.001504936022683978	0.0015100366435945034	0.001541258068755269	0.0016472616698592901
bloom-560m/10.self_attention.query_key_value	mse	1.1314305067062378	1.1135884523391724	1.0850836038589478	1.0237722396850586	0.9508292078971863	0.8780623078346252	0.8580620884895325
bloom-560m/11.mlp.dense_4h_to_h	mse	0.003054013941437006	0.003020705422386527	0.003023524535819888	0.0030615823343396187	0.0031215876806527376	0.0032080081291496754	0.0034743323922157288
bloom-560m/11.mlp.dense_h_to_4h	mse	0.04936724156141281	0.0485132671892643	0.04804003983736038	0.047825224697589874	0.04795842617750168	0.04939714074134827	0.05374681204557419
bloom-560m/11.self_attention.dense	mse	0.0014555109664797783	0.0014546560123562813	0.0014530522748827934	0.0014520225813612342	0.0014629294164478779	0.0015080401208251715	0.0016244567232206464
bloom-560m/11.self_attention.query_key_value	mse	0.38946840167045593	0.3854507505893707	0.37965771555900574	0.370279461145401	0.34998250007629395	0.33750367164611816	0.3445049822330475
