Data	Scaling	Damp0.001	Damp0.003	Damp0.01	Damp0.03	Damp0.1	Damp0.3	Damp1.0
bloom-560m/0.mlp.dense_4h_to_h	mse	0.0014346052194014192	0.0012193392030894756	0.001019905088469386	0.0009444374009035528	0.0009401834686286747	0.0010234471410512924	0.001231287606060505
bloom-560m/0.mlp.dense_h_to_4h	mse	0.01586899161338806	0.015853650867938995	0.015834152698516846	0.01579779013991356	0.015797771513462067	0.016121620312333107	0.017304062843322754
bloom-560m/0.self_attention.dense	mse	0.00036504201125353575	0.00035973667399957776	0.0003345298464410007	0.0003132481942884624	0.00029726605862379074	0.00032179304980672896	0.00038279444561339915
bloom-560m/0.self_attention.query_key_value	mse	0.025493741035461426	0.024053195491433144	0.022651681676506996	0.021857550367712975	0.021519167348742485	0.02184808999300003	0.02332386188209057
bloom-560m/1.mlp.dense_4h_to_h	mse	0.0010625480208545923	0.0009934219997376204	0.0009493044344708323	0.0009597800672054291	0.0010124254040420055	0.0011005408596247435	0.0012870312202721834
bloom-560m/1.mlp.dense_h_to_4h	mse	0.020942924544215202	0.0209368709474802	0.020909514278173447	0.020876727998256683	0.020962174981832504	0.021557075902819633	0.023465361446142197
bloom-560m/1.self_attention.dense	mse	0.00025414221454411745	0.00025327311595901847	0.0002509111072868109	0.00024989142548292875	0.0002588868956081569	0.00028507396928034723	0.0003436948754824698
bloom-560m/1.self_attention.query_key_value	mse	0.02891768515110016	0.028868749737739563	0.028752854093909264	0.028586218133568764	0.028591213747859	0.029314646497368813	0.031864214688539505
bloom-560m/10.mlp.dense_4h_to_h	mse	0.002103477017953992	0.0020785320084542036	0.0020886599086225033	0.0020999631378799677	0.0020883502438664436	0.0021137725561857224	0.002267236355692148
bloom-560m/10.mlp.dense_h_to_4h	mse	0.02937610074877739	0.02885104902088642	0.02856285311281681	0.02832840196788311	0.028355587273836136	0.02923663705587387	0.03210049122571945
bloom-560m/10.self_attention.dense	mse	0.0009370329789817333	0.0009370904881507158	0.0009365339064970613	0.0009360856493003666	0.0009405548917129636	0.0009643136872909963	0.0010375052224844694
bloom-560m/10.self_attention.query_key_value	mse	0.633871853351593	0.6186146140098572	0.5960066914558411	0.5634695887565613	0.49952128529548645	0.4660243093967438	0.4779483377933502
bloom-560m/11.mlp.dense_4h_to_h	mse	0.0019924137741327286	0.0019740895368158817	0.0019856514409184456	0.0020033628679811954	0.0020157741382718086	0.002067715860903263	0.00223543681204319
bloom-560m/11.mlp.dense_h_to_4h	mse	0.03076864406466484	0.03029198944568634	0.030052125453948975	0.029898926615715027	0.02985970303416252	0.03066037781536579	0.03345845639705658
bloom-560m/11.self_attention.dense	mse	0.0009175842860713601	0.0009172020363621414	0.0009160714689642191	0.0009163743234239519	0.0009253863245248795	0.0009559755562804639	0.0010354530531913042
bloom-560m/11.self_attention.query_key_value	mse	0.2893986403942108	0.2854444980621338	0.2785121202468872	0.26768335700035095	0.2494991272687912	0.24239253997802734	0.256664514541626
bloom-560m/12.mlp.dense_4h_to_h	mse	0.0022654819767922163	0.0022653122432529926	0.0022625871933996677	0.0022616200149059296	0.002275038743391633	0.002338891150429845	0.002527944976463914
bloom-560m/12.mlp.dense_h_to_4h	mse	0.037330977618694305	0.03691473975777626	0.036694493144750595	0.03657849505543709	0.03671836107969284	0.037819333374500275	0.04131733626127243
bloom-560m/12.self_attention.dense	mse	0.0009059632429853082	0.0009055879199877381	0.000905372784473002	0.000905090942978859	0.0009106151992455125	0.0009335799841210246	0.0010040497872978449
bloom-560m/12.self_attention.query_key_value	mse	0.3538811206817627	0.3459085524082184	0.3295755684375763	0.3076736629009247	0.27971768379211426	0.2710515558719635	0.29472607374191284
bloom-560m/13.mlp.dense_4h_to_h	mse	0.0022159151267260313	0.0022153514437377453	0.0022136529441922903	0.002213569823652506	0.0022268518805503845	0.0022816257551312447	0.0024495804682374
bloom-560m/13.mlp.dense_h_to_4h	mse	0.037940703332424164	0.03733036667108536	0.03710130602121353	0.03704231232404709	0.037286050617694855	0.038467343896627426	0.04202278330922127
bloom-560m/13.self_attention.dense	mse	0.0009588879765942693	0.0009585743537172675	0.0009574944851920009	0.0009582842467352748	0.0009637371404096484	0.0009919670410454273	0.0010737139964476228
bloom-560m/13.self_attention.query_key_value	mse	0.2767418920993805	0.27139851450920105	0.25758135318756104	0.23893886804580688	0.22003324329853058	0.21567504107952118	0.23546482622623444
bloom-560m/14.mlp.dense_4h_to_h	mse	0.0023200397845357656	0.002319584134966135	0.002317927312105894	0.0023177973926067352	0.0023331185802817345	0.0023938100785017014	0.0025693089701235294
bloom-560m/14.mlp.dense_h_to_4h	mse	0.03765420615673065	0.03743705525994301	0.03732648119330406	0.03724539279937744	0.03748578205704689	0.03868190571665764	0.0421181246638298
bloom-560m/14.self_attention.dense	mse	0.0007903359364718199	0.000789965852163732	0.0007888915715739131	0.0007896435563452542	0.0007944619283080101	0.0008174063405022025	0.0008830940932966769
bloom-560m/14.self_attention.query_key_value	mse	0.2694019377231598	0.2654933035373688	0.2551768720149994	0.23517702519893646	0.21177341043949127	0.207206130027771	0.22757454216480255
bloom-560m/15.mlp.dense_4h_to_h	mse	0.0024723918177187443	0.002471695886924863	0.002470867708325386	0.0024723014794290066	0.002489902079105377	0.002558270003646612	0.002747541293501854
bloom-560m/15.mlp.dense_h_to_4h	mse	0.03861166909337044	0.038278549909591675	0.03811859339475632	0.038060080260038376	0.038308076560497284	0.03949589282274246	0.04306582733988762
bloom-560m/15.self_attention.dense	mse	0.0008415174670517445	0.0008404009277001023	0.0008385280962102115	0.0008383591193705797	0.000846502254717052	0.0008768956176936626	0.0009570124093443155
bloom-560m/15.self_attention.query_key_value	mse	0.23984475433826447	0.23719756305217743	0.22991736233234406	0.21832840144634247	0.20498430728912354	0.20383119583129883	0.22284848988056183
bloom-560m/16.mlp.dense_4h_to_h	mse	0.00276136863976717	0.0027601681649684906	0.00275782635435462	0.002759309485554695	0.002780672861263156	0.0028603780083358288	0.0030792667530477047
bloom-560m/16.mlp.dense_h_to_4h	mse	0.039284490048885345	0.0389833003282547	0.03877391666173935	0.038676872849464417	0.03887048363685608	0.04015159606933594	0.04388650506734848
bloom-560m/16.self_attention.dense	mse	0.0008923830464482307	0.000892668729647994	0.0008917491068132222	0.0008925715228542686	0.0008976515382528305	0.0009216606849804521	0.0009893740061670542
bloom-560m/16.self_attention.query_key_value	mse	0.26958632469177246	0.2634200155735016	0.2511120140552521	0.23689265549182892	0.22058610618114471	0.21940909326076508	0.24077610671520233
bloom-560m/17.mlp.dense_4h_to_h	mse	0.003216953482478857	0.0032162857241928577	0.003213701769709587	0.0032165171578526497	0.003246067091822624	0.0033486075699329376	0.003618731163442135
bloom-560m/17.mlp.dense_h_to_4h	mse	0.03844454884529114	0.0382794588804245	0.03819438815116882	0.03816944360733032	0.03847851976752281	0.039847761392593384	0.043837063014507294
bloom-560m/17.self_attention.dense	mse	0.0009131510742008686	0.0009097600122913718	0.0009093243861570954	0.0009064358309842646	0.0009147879318334162	0.0009524369379505515	0.001051734434440732
bloom-560m/17.self_attention.query_key_value	mse	0.19015610218048096	0.1858779340982437	0.18035607039928436	0.17060048878192902	0.15986011922359467	0.1607048660516739	0.1772909015417099
