Data	Scaling	GPTQ	GPTQ+LS10	GPTQ+LS100
bloom-560m/0.mlp.dense_4h_to_h	mse	0.002252540085464716	0.0019570423755794764	0.0014893818879500031
bloom-560m/0.mlp.dense_h_to_4h	mse	0.026584554463624954	0.024894218891859055	0.022833172231912613
bloom-560m/0.self_attention.dense	mse	0.0008345135720446706	0.0005546265747398138	0.0004561386303976178
bloom-560m/0.self_attention.query_key_value	mse	0.04525868967175484	0.036860253661870956	0.03153187036514282
bloom-560m/1.mlp.dense_4h_to_h	mse	0.0019181864336133003	0.0017896827775985003	0.0015729560982435942
bloom-560m/1.mlp.dense_h_to_4h	mse	0.035703033208847046	0.03349301591515541	0.030208708718419075
bloom-560m/1.self_attention.dense	mse	0.00046084373025223613	0.0004151182947680354	0.00038610948831774294
bloom-560m/1.self_attention.query_key_value	mse	0.049308668822050095	0.04585004970431328	0.04028524085879326
bloom-560m/10.mlp.dense_4h_to_h	mse	0.003120714332908392	0.002960827900096774	0.002711260225623846
bloom-560m/10.mlp.dense_h_to_4h	mse	0.050397951155900955	0.0471610501408577	0.04150840640068054
bloom-560m/10.self_attention.dense	mse	0.0015068164793774486	0.0014343326911330223	0.0013316411059349775
bloom-560m/10.self_attention.query_key_value	mse	1.141178011894226	0.9564558863639832	0.7829384803771973
bloom-560m/11.mlp.dense_4h_to_h	mse	0.0032199255656450987	0.0030801831744611263	0.0028298974502831697
bloom-560m/11.mlp.dense_h_to_4h	mse	0.05118802934885025	0.048027388751506805	0.04279027134180069
bloom-560m/11.self_attention.dense	mse	0.001456213416531682	0.0013950923457741737	0.0013267220929265022
bloom-560m/11.self_attention.query_key_value	mse	0.3919227123260498	0.35309648513793945	0.3049086034297943
bloom-560m/12.mlp.dense_4h_to_h	mse	0.0035617826506495476	0.0034658443182706833	0.0032731210812926292
bloom-560m/12.mlp.dense_h_to_4h	mse	0.06210048869252205	0.0589088499546051	0.052975304424762726
bloom-560m/12.self_attention.dense	mse	0.0014514339854940772	0.0013883982319384813	0.0013031125999987125
bloom-560m/12.self_attention.query_key_value	mse	0.517007052898407	0.4500044584274292	0.3800816535949707
bloom-560m/13.mlp.dense_4h_to_h	mse	0.003492620773613453	0.00341286463662982	0.0032322804909199476
bloom-560m/13.mlp.dense_h_to_4h	mse	0.06523271650075912	0.06163967028260231	0.05579691380262375
bloom-560m/13.self_attention.dense	mse	0.0015145441284403205	0.001442051026970148	0.0013604984851554036
bloom-560m/13.self_attention.query_key_value	mse	0.37332049012184143	0.3327426612377167	0.287556916475296
bloom-560m/14.mlp.dense_4h_to_h	mse	0.003661439521238208	0.0035771471448242664	0.0034046273212879896
bloom-560m/14.mlp.dense_h_to_4h	mse	0.06372831761837006	0.06062750518321991	0.05520150810480118
bloom-560m/14.self_attention.dense	mse	0.0012745687272399664	0.0012107128277420998	0.001138259656727314
bloom-560m/14.self_attention.query_key_value	mse	0.3567500412464142	0.31983140110969543	0.27597784996032715
bloom-560m/15.mlp.dense_4h_to_h	mse	0.003893798217177391	0.0038109049201011658	0.0036478382535278797
bloom-560m/15.mlp.dense_h_to_4h	mse	0.06514853239059448	0.061844177544116974	0.05634791776537895
bloom-560m/15.self_attention.dense	mse	0.0013229760807007551	0.0012646433897316456	0.0012020657304674387
bloom-560m/15.self_attention.query_key_value	mse	0.32864436507225037	0.30033156275749207	0.26546719670295715
bloom-560m/16.mlp.dense_4h_to_h	mse	0.004355005919933319	0.00426233746111393	0.0040857261046767235
bloom-560m/16.mlp.dense_h_to_4h	mse	0.06529466062784195	0.06206439435482025	0.05661701411008835
bloom-560m/16.self_attention.dense	mse	0.001424324931576848	0.0013674625661224127	0.001294693909585476
bloom-560m/16.self_attention.query_key_value	mse	0.3609616756439209	0.3282211124897003	0.2885856032371521
bloom-560m/17.mlp.dense_4h_to_h	mse	0.005052253138273954	0.0049417894333601	0.004741165786981583
bloom-560m/17.mlp.dense_h_to_4h	mse	0.06446685642004013	0.06120137870311737	0.055967167019844055
bloom-560m/17.self_attention.dense	mse	0.0014673672849312425	0.0013740521389991045	0.0012959230225533247
bloom-560m/17.self_attention.query_key_value	mse	0.26836907863616943	0.2446792870759964	0.2148037999868393
bloom-560m/18.mlp.dense_4h_to_h	mse	0.005934313405305147	0.0058045280165970325	0.00558046717196703
bloom-560m/18.mlp.dense_h_to_4h	mse	0.06690701842308044	0.06336858868598938	0.05791868269443512
bloom-560m/18.self_attention.dense	mse	0.0018895440734922886	0.0018065660260617733	0.00172477588057518
bloom-560m/18.self_attention.query_key_value	mse	0.4556170403957367	0.3711416721343994	0.30436965823173523
bloom-560m/19.mlp.dense_4h_to_h	mse	0.0071199513040483	0.006942135281860828	0.006678472273051739
bloom-560m/19.mlp.dense_h_to_4h	mse	0.06945952773094177	0.06569821387529373	0.06007374823093414
bloom-560m/19.self_attention.dense	mse	0.002388509688898921	0.002291070530191064	0.002158675342798233
bloom-560m/19.self_attention.query_key_value	mse	0.39015090465545654	0.35186585783958435	0.30729690194129944
bloom-560m/2.mlp.dense_4h_to_h	mse	0.0024097743444144726	0.00234982674010098	0.002246652729809284
bloom-560m/2.mlp.dense_h_to_4h	mse	0.05602940917015076	0.051973823457956314	0.046347878873348236
bloom-560m/2.self_attention.dense	mse	0.00042878472595475614	0.00040165334939956665	0.0003752714255824685
bloom-560m/2.self_attention.query_key_value	mse	0.0574084110558033	0.05370883643627167	0.047274719923734665
bloom-560m/20.mlp.dense_4h_to_h	mse	0.011309713125228882	0.010294364765286446	0.009641842916607857
bloom-560m/20.mlp.dense_h_to_4h	mse	0.07257312536239624	0.06756211817264557	0.06121974065899849
bloom-560m/20.self_attention.dense	mse	0.004520255606621504	0.004176941700279713	0.00376277812756598
bloom-560m/20.self_attention.query_key_value	mse	0.4527597725391388	0.406796932220459	0.35577428340911865
bloom-560m/21.mlp.dense_4h_to_h	mse	0.02890406921505928	0.02176830731332302	0.020449262112379074
bloom-560m/21.mlp.dense_h_to_4h	mse	0.07799925655126572	0.07058802247047424	0.06323415040969849
bloom-560m/21.self_attention.dense	mse	0.017177103087306023	0.014898113906383514	0.011997820809483528
bloom-560m/21.self_attention.query_key_value	mse	0.5303887724876404	0.43207240104675293	0.3676851689815521
bloom-560m/22.mlp.dense_4h_to_h	mse	0.022670429199934006	0.021395009011030197	0.020769547671079636
bloom-560m/22.mlp.dense_h_to_4h	mse	0.09098872542381287	0.08186817169189453	0.07374662160873413
bloom-560m/22.self_attention.dense	mse	0.021811308339238167	0.016298310831189156	0.011371258646249771
bloom-560m/22.self_attention.query_key_value	mse	1.1854323148727417	0.8118999004364014	0.5434508919715881
bloom-560m/23.mlp.dense_4h_to_h	mse	0.016686011105775833	0.015282254666090012	0.01282101683318615
bloom-560m/23.mlp.dense_h_to_4h	mse	0.09655289351940155	0.07579450309276581	0.06793822348117828
bloom-560m/23.self_attention.dense	mse	0.002522852038964629	0.002289409516379237	0.0021064095199108124
bloom-560m/23.self_attention.query_key_value	mse	0.0694536417722702	0.05755072459578514	0.050665125250816345
bloom-560m/3.mlp.dense_4h_to_h	mse	0.0030924107413738966	0.003014970337972045	0.0028691748157143593
bloom-560m/3.mlp.dense_h_to_4h	mse	0.06069282442331314	0.05700745806097984	0.05091729387640953
bloom-560m/3.self_attention.dense	mse	0.0008473811321891844	0.0007415832369588315	0.0006659413920715451
bloom-560m/3.self_attention.query_key_value	mse	0.06003139913082123	0.05645075440406799	0.04992324486374855
bloom-560m/4.mlp.dense_4h_to_h	mse	0.0041902754455804825	0.004073210991919041	0.0038355279248207808
bloom-560m/4.mlp.dense_h_to_4h	mse	0.05644091218709946	0.05291387438774109	0.046792078763246536
bloom-560m/4.self_attention.dense	mse	0.0007711010985076427	0.0007209759787656367	0.0006771510816179216
bloom-560m/4.self_attention.query_key_value	mse	0.0621456615626812	0.05802164971828461	0.050826769322156906
bloom-560m/5.mlp.dense_4h_to_h	mse	0.003339467104524374	0.0031566352117806673	0.002804652787744999
bloom-560m/5.mlp.dense_h_to_4h	mse	0.04455394297838211	0.04177934676408768	0.03694682568311691
bloom-560m/5.self_attention.dense	mse	0.0009609612752683461	0.0009088359656743705	0.0008709512185305357
bloom-560m/5.self_attention.query_key_value	mse	0.07802573591470718	0.07126671075820923	0.06118771433830261
bloom-560m/6.mlp.dense_4h_to_h	mse	0.0031467117369174957	0.0030407109297811985	0.002817058004438877
bloom-560m/6.mlp.dense_h_to_4h	mse	0.052465785294771194	0.049261074513196945	0.04357390105724335
bloom-560m/6.self_attention.dense	mse	0.0013651399640366435	0.0013056257739663124	0.001243731239810586
bloom-560m/6.self_attention.query_key_value	mse	0.11133194714784622	0.10253775119781494	0.08820247650146484
bloom-560m/7.mlp.dense_4h_to_h	mse	0.0025760987773537636	0.0023708497174084187	0.002068402711302042
bloom-560m/7.mlp.dense_h_to_4h	mse	0.031170327216386795	0.029100734740495682	0.02505296841263771
bloom-560m/7.self_attention.dense	mse	0.001095527084544301	0.0009893982205539942	0.0009418072877451777
bloom-560m/7.self_attention.query_key_value	mse	0.11609915643930435	0.10099288076162338	0.08324868232011795
bloom-560m/8.mlp.dense_4h_to_h	mse	0.0021074789110571146	0.0019363141618669033	0.0017134363297373056
bloom-560m/8.mlp.dense_h_to_4h	mse	0.022868333384394646	0.021339304745197296	0.018491625785827637
bloom-560m/8.self_attention.dense	mse	0.0011790323769673705	0.0011206462513655424	0.0010594567283988
bloom-560m/8.self_attention.query_key_value	mse	0.24937216937541962	0.20849163830280304	0.16985966265201569
bloom-560m/9.mlp.dense_4h_to_h	mse	0.0018431484932079911	0.0016720069106668234	0.0014777955366298556
bloom-560m/9.mlp.dense_h_to_4h	mse	0.01716773584485054	0.01600949466228485	0.01411660760641098
bloom-560m/9.self_attention.dense	mse	0.0012305483687669039	0.0011711441911756992	0.0010985000990331173
bloom-560m/9.self_attention.query_key_value	mse	0.3490363657474518	0.31528231501579285	0.26486918330192566
opt-125m/0.fc1	mse	0.001535665593110025	0.001342247356660664	0.0012633476871997118
