Data	Scaling	Diag	DiagErr	DiagSqErr
bloom-560m/0.mlp.dense_4h_to_h	mse	0.0013228401076048613	0.0012831459753215313	0.001258340897038579
bloom-560m/0.mlp.dense_h_to_4h	mse	0.026443172246217728	0.02644168585538864	0.026515420526266098
bloom-560m/0.self_attention.dense	mse	0.0007043686928227544	0.0007461430504918098	0.0007726253243163228
bloom-560m/0.self_attention.query_key_value	mse	0.03873874619603157	0.0387626476585865	0.038054440170526505
bloom-560m/1.mlp.dense_4h_to_h	mse	0.001564301666803658	0.0015418498078361154	0.0015081639867275953
bloom-560m/1.mlp.dense_h_to_4h	mse	0.035570546984672546	0.035591110587120056	0.03561403974890709
bloom-560m/1.self_attention.dense	mse	0.0004379520541988313	0.00043403374729678035	0.00043717119842767715
bloom-560m/1.self_attention.query_key_value	mse	0.048893243074417114	0.04871853068470955	0.04808211326599121
bloom-560m/10.mlp.dense_4h_to_h	mse	0.002861152635887265	0.0028214198537170887	0.002767890691757202
bloom-560m/10.mlp.dense_h_to_4h	mse	0.04613880813121796	0.04618670791387558	0.04614872857928276
bloom-560m/10.self_attention.dense	mse	0.0015063260216265917	0.0014782983344048262	0.0014601480215787888
bloom-560m/10.self_attention.query_key_value	mse	1.0850833654403687	1.08724844455719	1.0812044143676758
bloom-560m/11.mlp.dense_4h_to_h	mse	0.003023501019924879	0.0029719506856054068	0.0029090845491737127
bloom-560m/11.mlp.dense_h_to_4h	mse	0.04803954064846039	0.048019371926784515	0.048000309616327286
bloom-560m/11.self_attention.dense	mse	0.001453052507713437	0.001449865521863103	0.0014442838728427887
bloom-560m/11.self_attention.query_key_value	mse	0.3796575367450714	0.38058945536613464	0.3780033588409424
bloom-560m/12.mlp.dense_4h_to_h	mse	0.003545760177075863	0.0034849606454372406	0.0034201170783489943
bloom-560m/12.mlp.dense_h_to_4h	mse	0.05908721685409546	0.05902950093150139	0.05884251743555069
bloom-560m/12.self_attention.dense	mse	0.0014499088283628225	0.0014368786942213774	0.0014287375379353762
bloom-560m/12.self_attention.query_key_value	mse	0.48748263716697693	0.4895913600921631	0.4812365472316742
bloom-560m/13.mlp.dense_4h_to_h	mse	0.0034878128208220005	0.0034284493885934353	0.0033546751365065575
bloom-560m/13.mlp.dense_h_to_4h	mse	0.06203491985797882	0.0620046928524971	0.061973534524440765
bloom-560m/13.self_attention.dense	mse	0.001513181021437049	0.0015027390327304602	0.0014888164587318897
bloom-560m/13.self_attention.query_key_value	mse	0.3531225919723511	0.3530515730381012	0.34657928347587585
bloom-560m/14.mlp.dense_4h_to_h	mse	0.003653579391539097	0.0035908352583646774	0.0035199695266783237
bloom-560m/14.mlp.dense_h_to_4h	mse	0.06219220533967018	0.06215229630470276	0.062209613621234894
bloom-560m/14.self_attention.dense	mse	0.00127249991055578	0.0012699842918664217	0.0012675253674387932
bloom-560m/14.self_attention.query_key_value	mse	0.3421773612499237	0.3430328667163849	0.32679155468940735
bloom-560m/15.mlp.dense_4h_to_h	mse	0.0038867397233843803	0.0038300128653645515	0.003765776986256242
bloom-560m/15.mlp.dense_h_to_4h	mse	0.06355299055576324	0.0635482668876648	0.0634879395365715
bloom-560m/15.self_attention.dense	mse	0.0013194348430261016	0.0013172293547540903	0.001314027002081275
bloom-560m/15.self_attention.query_key_value	mse	0.3198799192905426	0.3186577260494232	0.32058069109916687
bloom-560m/16.mlp.dense_4h_to_h	mse	0.004345810040831566	0.004285452887415886	0.004221627488732338
bloom-560m/16.mlp.dense_h_to_4h	mse	0.0634673610329628	0.06346504390239716	0.06339229643344879
bloom-560m/16.self_attention.dense	mse	0.0014243246987462044	0.0014196827542036772	0.0014134155353531241
bloom-560m/16.self_attention.query_key_value	mse	0.34386172890663147	0.3443218469619751	0.34157323837280273
bloom-560m/17.mlp.dense_4h_to_h	mse	0.00503904651850462	0.0049667684361338615	0.004879457410424948
bloom-560m/17.mlp.dense_h_to_4h	mse	0.06369562447071075	0.06367869675159454	0.06359180063009262
bloom-560m/17.self_attention.dense	mse	0.001456530881114304	0.001449519069865346	0.0014379406347870827
bloom-560m/17.self_attention.query_key_value	mse	0.26001641154289246	0.26086845993995667	0.2638816833496094
bloom-560m/18.mlp.dense_4h_to_h	mse	0.005903264973312616	0.005830417387187481	0.0057361735962331295
bloom-560m/18.mlp.dense_h_to_4h	mse	0.06605956703424454	0.06597737967967987	0.06595203280448914
bloom-560m/18.self_attention.dense	mse	0.0018864498706534505	0.0018789351452142	0.0018733767792582512
bloom-560m/18.self_attention.query_key_value	mse	0.3985779583454132	0.40708398818969727	0.42618095874786377
bloom-560m/19.mlp.dense_4h_to_h	mse	0.007059680763632059	0.006986335851252079	0.0068570333532989025
bloom-560m/19.mlp.dense_h_to_4h	mse	0.06839711964130402	0.06834253668785095	0.06831923127174377
bloom-560m/19.self_attention.dense	mse	0.0023871944285929203	0.0023637611884623766	0.0023375204764306545
bloom-560m/19.self_attention.query_key_value	mse	0.39658379554748535	0.3980628550052643	0.39596128463745117
bloom-560m/2.mlp.dense_4h_to_h	mse	0.002397372853010893	0.0023677076678723097	0.0023276458960026503
bloom-560m/2.mlp.dense_h_to_4h	mse	0.055499494075775146	0.05547081306576729	0.05540388822555542
bloom-560m/2.self_attention.dense	mse	0.00042243144707754254	0.0004183926503174007	0.0004132887115702033
bloom-560m/2.self_attention.query_key_value	mse	0.056488391011953354	0.05644229054450989	0.05636804178357124
bloom-560m/20.mlp.dense_4h_to_h	mse	0.010714655742049217	0.010605432093143463	0.010357998311519623
bloom-560m/20.mlp.dense_h_to_4h	mse	0.07079662382602692	0.07159538567066193	0.0722205638885498
bloom-560m/20.self_attention.dense	mse	0.004473676905035973	0.004392300732433796	0.004298131912946701
bloom-560m/20.self_attention.query_key_value	mse	0.4659750163555145	0.46777984499931335	0.4690759479999542
bloom-560m/21.mlp.dense_4h_to_h	mse	0.025880509987473488	0.02618538588285446	0.0274810791015625
bloom-560m/21.mlp.dense_h_to_4h	mse	0.07193716615438461	0.07218407839536667	0.07314138114452362
bloom-560m/21.self_attention.dense	mse	0.016748297959566116	0.016496649011969566	0.016438504680991173
bloom-560m/21.self_attention.query_key_value	mse	0.5451880097389221	0.5510568022727966	0.5061874985694885
bloom-560m/22.mlp.dense_4h_to_h	mse	0.021544676274061203	0.021497074514627457	0.021113185212016106
bloom-560m/22.mlp.dense_h_to_4h	mse	0.08813846111297607	0.09048373997211456	0.09092976152896881
bloom-560m/22.self_attention.dense	mse	0.019615773111581802	0.022147247567772865	0.02506229281425476
bloom-560m/22.self_attention.query_key_value	mse	1.0410451889038086	1.021847128868103	0.9365628361701965
bloom-560m/23.mlp.dense_4h_to_h	mse	0.015021918341517448	0.014893989078700542	0.014092071913182735
bloom-560m/23.mlp.dense_h_to_4h	mse	0.08830858021974564	0.08708417415618896	0.09038594365119934
bloom-560m/23.self_attention.dense	mse	0.0024780449457466602	0.0024998707231134176	0.002535022096708417
bloom-560m/23.self_attention.query_key_value	mse	0.0631352886557579	0.06255611032247543	0.06090173125267029
bloom-560m/3.mlp.dense_4h_to_h	mse	0.003079640679061413	0.003018618794158101	0.002955513307824731
bloom-560m/3.mlp.dense_h_to_4h	mse	0.05885740742087364	0.05882388725876808	0.058826543390750885
bloom-560m/3.self_attention.dense	mse	0.0008168684435077012	0.0008135267999023199	0.0008175653638318181
bloom-560m/3.self_attention.query_key_value	mse	0.05831839516758919	0.05830596014857292	0.05821681022644043
bloom-560m/4.mlp.dense_4h_to_h	mse	0.004160132724791765	0.004001772962510586	0.003879113355651498
bloom-560m/4.mlp.dense_h_to_4h	mse	0.05344090983271599	0.053416378796100616	0.05348740518093109
bloom-560m/4.self_attention.dense	mse	0.0007545297266915441	0.0007507705595344305	0.0007550702430307865
bloom-560m/4.self_attention.query_key_value	mse	0.06007242202758789	0.060050491243600845	0.05948135256767273
bloom-560m/5.mlp.dense_4h_to_h	mse	0.00283998204395175	0.0027878331020474434	0.0027402203995734453
