Data	Scaling	Diag	DiagErr	DiagSqErr
bloom-560m/0.mlp.dense_4h_to_h	mse	0.0002414292102912441	0.00023723614867776632	0.00023105877335183322
bloom-560m/0.mlp.dense_h_to_4h	mse	0.004655183758586645	0.004645662382245064	0.004639297723770142
bloom-560m/0.self_attention.dense	mse	7.613592606503516e-05	7.61859628255479e-05	7.609425665577874e-05
bloom-560m/0.self_attention.query_key_value	mse	0.0066535621881484985	0.006637951824814081	0.006572407204657793
bloom-560m/1.mlp.dense_4h_to_h	mse	0.0003095403080806136	0.00030517205595970154	0.0002968859625980258
bloom-560m/1.mlp.dense_h_to_4h	mse	0.0062511274591088295	0.006240913178771734	0.006237279623746872
bloom-560m/1.self_attention.dense	mse	7.362061296589673e-05	7.325383921852335e-05	7.3186558438465e-05
bloom-560m/1.self_attention.query_key_value	mse	0.008571851067245007	0.008543483912944794	0.008484949357807636
bloom-560m/10.mlp.dense_4h_to_h	mse	0.0008115313830785453	0.0007906341925263405	0.0007583950064145029
bloom-560m/10.mlp.dense_h_to_4h	mse	0.008707288652658463	0.00869766715914011	0.008684031665325165
bloom-560m/10.self_attention.dense	mse	0.0003061924362555146	0.00030313647584989667	0.00029986404115334153
bloom-560m/10.self_attention.query_key_value	mse	0.1955934762954712	0.19587677717208862	0.198123499751091
bloom-560m/11.mlp.dense_4h_to_h	mse	0.0006982798804529011	0.0006803246214985847	0.0006559968460351229
bloom-560m/11.mlp.dense_h_to_4h	mse	0.00953979603946209	0.009541483595967293	0.00944439321756363
bloom-560m/11.self_attention.dense	mse	0.00029984215507283807	0.00029908475698903203	0.00029827753314748406
bloom-560m/11.self_attention.query_key_value	mse	0.13020245730876923	0.12953884899616241	0.12862499058246613
bloom-560m/12.mlp.dense_4h_to_h	mse	0.000782655319198966	0.000768265628721565	0.0007514354074373841
bloom-560m/12.mlp.dense_h_to_4h	mse	0.011548930779099464	0.011521700769662857	0.011421028524637222
bloom-560m/12.self_attention.dense	mse	0.00029557710513472557	0.0002942850114777684	0.0002930916380137205
bloom-560m/12.self_attention.query_key_value	mse	0.14920592308044434	0.14705830812454224	0.14881111681461334
bloom-560m/13.mlp.dense_4h_to_h	mse	0.0007545396219938993	0.0007426855736412108	0.0007225431618280709
bloom-560m/13.mlp.dense_h_to_4h	mse	0.011360970325767994	0.011349959298968315	0.011308511719107628
bloom-560m/13.self_attention.dense	mse	0.000316777266561985	0.0003152952413074672	0.00031358562409877777
bloom-560m/13.self_attention.query_key_value	mse	0.12830324470996857	0.12658186256885529	0.11794211715459824
bloom-560m/14.mlp.dense_4h_to_h	mse	0.0007918868213891983	0.0007777269347570837	0.0007599988020956516
bloom-560m/14.mlp.dense_h_to_4h	mse	0.011389159597456455	0.011381497606635094	0.011357063427567482
bloom-560m/14.self_attention.dense	mse	0.00025403618928976357	0.00025389090296812356	0.0002542356087360531
bloom-560m/14.self_attention.query_key_value	mse	0.13225363194942474	0.132055401802063	0.11885247379541397
bloom-560m/15.mlp.dense_4h_to_h	mse	0.0008473030757158995	0.0008355586905963719	0.0008180174045264721
bloom-560m/15.mlp.dense_h_to_4h	mse	0.011663180775940418	0.011660821735858917	0.011634616181254387
bloom-560m/15.self_attention.dense	mse	0.0002804839750751853	0.00028006438515149057	0.0002788562560454011
bloom-560m/15.self_attention.query_key_value	mse	0.11158081144094467	0.10955291986465454	0.10955813527107239
bloom-560m/16.mlp.dense_4h_to_h	mse	0.0009451528312638402	0.0009341727127321064	0.0009160449844785035
bloom-560m/16.mlp.dense_h_to_4h	mse	0.01208627037703991	0.012068299576640129	0.011993907392024994
bloom-560m/16.self_attention.dense	mse	0.00029203202575445175	0.0002914731448981911	0.0002905420842580497
