Data	Max	MSE	Diag	Hessian	OBQAware
bloom-560m/0.mlp.dense_4h_to_h	0.010047105140984058	0.0017443508841097355	0.001300846692174673	0.0012117625446990132	0.0010876114247366786
bloom-560m/0.mlp.dense_h_to_4h	0.06502938270568848	0.015879923477768898	0.016704730689525604	0.016101017594337463	0.014501734636723995
bloom-560m/0.self_attention.dense	0.0009451097575947642	0.0003785071603488177	0.0002760561474133283	0.00029020896181464195	0.00022962980438023806
bloom-560m/0.self_attention.query_key_value	0.09327449649572372	0.027388401329517365	0.025547752156853676	0.025748761370778084	0.022444307804107666
bloom-560m/1.mlp.dense_4h_to_h	0.012727844528853893	0.0011707769008353353	0.0011319166515022516	0.00116911216173321	0.0010824024211615324
bloom-560m/1.mlp.dense_h_to_4h	0.08026263117790222	0.020950887352228165	0.021548325195908546	0.021779248490929604	0.020031176507472992
bloom-560m/1.self_attention.dense	0.0011388016864657402	0.0002554560196585953	0.00027903506997972727	0.00027393692289479077	0.00022810438531450927
bloom-560m/1.self_attention.query_key_value	0.11532796174287796	0.0289306640625	0.028488019481301308	0.02919580787420273	0.027263635769486427
bloom-560m/10.mlp.dense_4h_to_h	0.025315046310424805	0.0022429190576076508	0.002079810481518507	0.0021882569417357445	0.0020478111691772938
bloom-560m/10.mlp.dense_h_to_4h	0.10161646455526352	0.03122517839074135	0.03040171042084694	0.031009264290332794	0.027483979240059853
bloom-560m/10.self_attention.dense	0.0053058043122291565	0.0009373261709697545	0.0009463872411288321	0.0009531573741696775	0.0009165964438579977
bloom-560m/10.self_attention.query_key_value	0.3548220694065094	0.6510800719261169	0.13961374759674072	0.13963602483272552	0.1213642880320549
bloom-560m/11.mlp.dense_4h_to_h	0.023692427203059196	0.002100879093632102	0.002065541222691536	0.002148458268493414	0.0020366532262414694
bloom-560m/11.mlp.dense_h_to_4h	0.10841210931539536	0.032261572778224945	0.031178954988718033	0.03163701295852661	0.028643988072872162
bloom-560m/11.self_attention.dense	0.004760241601616144	0.0009181813802570105	0.0009332817862741649	0.0009545184439048171	0.000898621219675988
bloom-560m/11.self_attention.query_key_value	0.2559919059276581	0.29176872968673706	0.09297697991132736	0.09296717494726181	0.08283568173646927
bloom-560m/12.mlp.dense_4h_to_h	0.02664910815656185	0.0022660167887806892	0.002267003757879138	0.002372483490034938	0.0022484110668301582
bloom-560m/12.mlp.dense_h_to_4h	0.1360625922679901	0.03863951563835144	0.03861859440803528	0.03936304897069931	0.03563857823610306
bloom-560m/12.self_attention.dense	0.004739041905850172	0.0009060955489985645	0.0009058004943653941	0.0009272912284359336	0.000887821544893086
bloom-560m/12.self_attention.query_key_value	0.3221948444843292	0.35735413432121277	0.1172524094581604	0.11887919902801514	0.10690035670995712
bloom-560m/13.mlp.dense_4h_to_h	0.025921087712049484	0.0022161873057484627	0.002214636653661728	0.002298918552696705	0.0021990526001900434
bloom-560m/13.mlp.dense_h_to_4h	0.13967812061309814	0.03933871537446976	0.039765577763319016	0.0403854176402092	0.037076741456985474
bloom-560m/13.self_attention.dense	0.005153950769454241	0.0009591981652192771	0.0009647755068726838	0.0009923129109665751	0.0009375076042488217
bloom-560m/13.self_attention.query_key_value	0.3431518077850342	0.2795940935611725	0.12040814012289047	0.12170759588479996	0.1069175973534584
bloom-560m/14.mlp.dense_4h_to_h	0.02660074084997177	0.0023200511932373047	0.002319594845175743	0.0024154556449502707	0.0023032180033624172
bloom-560m/14.mlp.dense_h_to_4h	0.14065279066562653	0.03825652599334717	0.03913945332169533	0.03958047181367874	0.03673470765352249
bloom-560m/14.self_attention.dense	0.00405043363571167	0.0007904332014732063	0.0007889926200732589	0.0008059886167757213	0.0007730528013780713
bloom-560m/14.self_attention.query_key_value	0.3613361120223999	0.27123793959617615	0.12585824728012085	0.12708131968975067	0.11046399921178818
bloom-560m/15.mlp.dense_4h_to_h	0.026866164058446884	0.002474080305546522	0.0024767029099166393	0.0025771609507501125	0.0024570885580033064
bloom-560m/15.mlp.dense_h_to_4h	0.14395427703857422	0.039357420057058334	0.040353015065193176	0.04079410806298256	0.037629999220371246
