Data	MSE	Diag	Hessian	OBQAware
bloom-560m/0.mlp.dense_4h_to_h	0.0013228401076048613	0.001279566204175353	0.0013392746914178133	0.0011402873788028955
bloom-560m/0.mlp.dense_h_to_4h	0.026443172246217728	0.02770187333226204	0.02701438218355179	0.02382555790245533
bloom-560m/0.self_attention.dense	0.0007043686928227544	0.00044820699258707464	0.0004639685503207147	0.0003766884619835764
bloom-560m/0.self_attention.query_key_value	0.03873874619603157	0.03742425516247749	0.03742612153291702	0.034676503390073776
bloom-560m/1.mlp.dense_4h_to_h	0.001564301666803658	0.0015602130442857742	0.0016235504299402237	0.0014853354077786207
bloom-560m/1.mlp.dense_h_to_4h	0.035570546984672546	0.036520663648843765	0.036618754267692566	0.03340485692024231
bloom-560m/1.self_attention.dense	0.0004379520541988313	0.00044764502672478557	0.00044479125062935054	0.0003723939589690417
bloom-560m/1.self_attention.query_key_value	0.048893243074417114	0.04755186662077904	0.048028796911239624	0.04524673894047737
bloom-560m/10.mlp.dense_4h_to_h	0.002861152635887265	0.0028634080663323402	0.0030450369231402874	0.0028265337459743023
bloom-560m/10.mlp.dense_h_to_4h	0.04613880813121796	0.047330889850854874	0.04708927124738693	0.04319886863231659
bloom-560m/10.self_attention.dense	0.0015063260216265917	0.0015307341236621141	0.0015459856949746609	0.0014714767457917333
bloom-560m/10.self_attention.query_key_value	1.0850833654403687	0.23221902549266815	0.23347149789333344	0.1951683908700943
bloom-560m/11.mlp.dense_4h_to_h	0.003023501019924879	0.003029903396964073	0.0031657489016652107	0.002998083597049117
bloom-560m/11.mlp.dense_h_to_4h	0.04803954064846039	0.04910963028669357	0.048783570528030396	0.04485759884119034
bloom-560m/11.self_attention.dense	0.001453052507713437	0.0014814032474532723	0.0015111612156033516	0.0014229463413357735
bloom-560m/11.self_attention.query_key_value	0.3796575367450714	0.15401023626327515	0.15138529241085052	0.13025544583797455
bloom-560m/12.mlp.dense_4h_to_h	0.003545760177075863	0.003548108506947756	0.0037416452541947365	0.0035169513430446386
bloom-560m/12.mlp.dense_h_to_4h	0.05908721685409546	0.06115442514419556	0.061189211905002594	0.056496672332286835
bloom-560m/12.self_attention.dense	0.0014499088283628225	0.0014553352957591414	0.0014871888561174273	0.0014257354196161032
