Data	Max	MSE	Diag	Hessian	OBQAware
bloom-560m/0.mlp.dense_4h_to_h	0.1621071845293045	0.011250661686062813	0.009144561365246773	0.00510065071284771	0.004285658709704876
bloom-560m/0.mlp.dense_h_to_4h	0.7752811908721924	0.060383234173059464	0.05898351967334747	0.05668041855096817	0.050373710691928864
bloom-560m/0.self_attention.dense	0.01108279637992382	0.0057520996779203415	0.0012881230795755982	0.0011890435125678778	0.0008982864092104137
bloom-560m/0.self_attention.query_key_value	0.6720304489135742	0.09756386280059814	0.09353017061948776	0.08658383041620255	0.08046332001686096
bloom-560m/1.mlp.dense_4h_to_h	0.16001589596271515	0.004886203445494175	0.004442303441464901	0.004297021776437759	0.0038961118552833796
bloom-560m/1.mlp.dense_h_to_4h	0.9045754075050354	0.08575430512428284	0.08388378471136093	0.07901499420404434	0.07256515324115753
bloom-560m/1.self_attention.dense	0.012829415500164032	0.0017425103578716516	0.0012665946269407868	0.0011804599780589342	0.0008776221657171845
bloom-560m/1.self_attention.query_key_value	1.0801137685775757	0.11211135238409042	0.10972919315099716	0.10179352760314941	0.09771405905485153
bloom-560m/10.mlp.dense_4h_to_h	0.2914290428161621	0.006789009552448988	0.006296032108366489	0.0065331365913152695	0.006179288029670715
bloom-560m/10.mlp.dense_h_to_4h	0.8938037157058716	0.10983185470104218	0.10948193073272705	0.1071222722530365	0.09707432985305786
bloom-560m/10.self_attention.dense	0.06445232033729553	0.003076185006648302	0.0031237872317433357	0.003101758658885956	0.0030017253011465073
bloom-560m/10.self_attention.query_key_value	3.7131192684173584	2.49332594871521	0.769864022731781	0.637971818447113	0.5534094572067261
bloom-560m/11.mlp.dense_4h_to_h	0.2712974548339844	0.006617114879190922	0.00636807456612587	0.0066325790248811245	0.0062603116966784
bloom-560m/11.mlp.dense_h_to_4h	0.9203855991363525	0.11240032315254211	0.1120595932006836	0.10899218916893005	0.10051119327545166
bloom-560m/11.self_attention.dense	0.05760757997632027	0.002929715672507882	0.00298490677960217	0.0030284111853688955	0.0028757804539054632
bloom-560m/11.self_attention.query_key_value	2.1484620571136475	0.6945012211799622	0.39645707607269287	0.384411484003067	0.3267133831977844
