Data	MSE	Diag	Hessian	OBQAware
bloom-560m/0.mlp.dense_4h_to_h	0.0010199141688644886	0.0007575646741315722	0.0007287220796570182	0.0006854193052276969
bloom-560m/0.mlp.dense_h_to_4h	0.015834152698516846	0.016704784706234932	0.016105538234114647	0.014493431895971298
bloom-560m/0.self_attention.dense	0.000334533688146621	0.0002750762505456805	0.00028925511287525296	0.00022908049868419766
bloom-560m/0.self_attention.query_key_value	0.022651707753539085	0.022095294669270515	0.022519579157233238	0.020841317251324654
bloom-560m/1.mlp.dense_4h_to_h	0.0009493031539022923	0.0009284900152124465	0.0009641975630074739	0.0009073750698007643
bloom-560m/1.mlp.dense_h_to_4h	0.02090967819094658	0.021523263305425644	0.021762803196907043	0.020020637661218643
bloom-560m/1.self_attention.dense	0.0002509109617676586	0.0002769877028185874	0.00027288857381790876	0.00022719921253155917
bloom-560m/1.self_attention.query_key_value	0.02875288389623165	0.02838776260614395	0.02911996655166149	0.027203932404518127
bloom-560m/10.mlp.dense_4h_to_h	0.002088653389364481	0.001924605225212872	0.002020871266722679	0.0019021991174668074
bloom-560m/10.mlp.dense_h_to_4h	0.02856285497546196	0.02829248085618019	0.028621435165405273	0.02620602771639824
bloom-560m/10.self_attention.dense	0.0009365393198095262	0.0009457857813686132	0.0009527212241664529	0.000916691031306982
bloom-560m/10.self_attention.query_key_value	0.5960080623626709	0.13796663284301758	0.13694526255130768	0.1137205958366394
bloom-560m/11.mlp.dense_4h_to_h	0.001985664013773203	0.0019547005649656057	0.0020347549580037594	0.00193517014849931
bloom-560m/11.mlp.dense_h_to_4h	0.030052121728658676	0.02939540147781372	0.029604367911815643	0.02740522474050522
bloom-560m/11.self_attention.dense	0.0009160636109299958	0.0009310499299317598	0.000952579895965755	0.0008968350011855364
bloom-560m/11.self_attention.query_key_value	0.2785121202468872	0.09160580486059189	0.09053663164377213	0.07826415449380875
bloom-560m/12.mlp.dense_4h_to_h	0.0022625792771577835	0.0022640442475676537	0.002368136076256633	0.0022443891502916813
bloom-560m/12.mlp.dense_h_to_4h	0.036693766713142395	0.03702438250184059	0.03776362165808678	0.03453296422958374
bloom-560m/12.self_attention.dense	0.0009053739486262202	0.0009056262206286192	0.0009266587439924479	0.0008880349341779947
bloom-560m/12.self_attention.query_key_value	0.32957565784454346	0.11351057887077332	0.11445512622594833	0.10026977211236954
bloom-560m/13.mlp.dense_4h_to_h	0.002213655970990658	0.0022125483956187963	0.0022957785986363888	0.0021971813403069973
bloom-560m/13.mlp.dense_h_to_4h	0.037101611495018005	0.03814123570919037	0.0385633185505867	0.035750336945056915
bloom-560m/13.self_attention.dense	0.0009575271978974342	0.000963942613452673	0.0009910895023494959	0.0009369516046717763
bloom-560m/13.self_attention.query_key_value	0.25758132338523865	0.11105390638113022	0.11212895065546036	0.09978560358285904
bloom-560m/14.mlp.dense_4h_to_h	0.002317927312105894	0.0023154299706220627	0.002412331523373723	0.0023003476671874523
bloom-560m/14.mlp.dense_h_to_4h	0.03732641041278839	0.038264889270067215	0.03868600353598595	0.03610381484031677
bloom-560m/14.self_attention.dense	0.0007888915133662522	0.0007878555334173143	0.0008044003043323755	0.0007719775312580168
